id,name,price,description
1,Mazda,73,Compatible coherent projection
2,Oldsmobile,20,Vision-oriented static encryption
3,Rolls-Royce,15,Cross-platform global circuit
4,Geo,69,Networked bottom-line approach
5,Ford,37,Re-engineered value-added initiative
6,Mazda,96,Diverse scalable infrastructure
7,Subaru,33,Customer-focused radical collaboration
8,Nissan,38,Decentralized intermediate paradigm
9,Saab,3,Right-sized next generation instruction set
10,Dodge,66,Pre-emptive coherent superstructure
11,Ford,62,Cross-group exuding capability
12,Ford,49,Total heuristic architecture
13,Isuzu,38,Monitored global functionalities
14,Fairthorpe,43,Managed background Graphic Interface
15,Saab,77,Mandatory systemic structure
16,Jaguar,5,Reduced actuating application
17,Volvo,27,Profit-focused modular infrastructure
18,Volkswagen,3,Advanced composite throughput
19,Toyota,78,Extended intermediate project
20,Mazda,20,Re-contextualized bottom-line monitoring
21,Toyota,42,Open-architected high-level infrastructure
22,Chevrolet,73,Pre-emptive maximized complexity
23,Isuzu,15,Future-proofed content-based attitude
24,Ford,68,Right-sized uniform implementation
25,Kia,85,Up-sized zero tolerance framework
26,Subaru,77,Focused 4th generation ability
27,Pontiac,66,Up-sized systemic monitoring
28,Mercedes-Benz,20,Future-proofed secondary access
29,Mazda,45,Enhanced secondary benchmark
30,Ford,68,Inverse heuristic service-desk
31,Chevrolet,18,Proactive multi-tasking open system
32,Mitsubishi,98,Polarised analyzing parallelism
33,Pontiac,12,Fully-configurable full-range database
34,BMW,39,Self-enabling dynamic Graphic Interface
35,Jaguar,6,Universal asymmetric implementation
36,Chevrolet,37,Grass-roots incremental initiative
37,Land Rover,58,Operative neutral time-frame
38,GMC,37,Total global alliance
39,Ford,95,User-centric background hierarchy
40,Dodge,66,Persistent homogeneous complexity
41,Toyota,62,Managed neutral encoding
42,Dodge,63,Configurable even-keeled archive
43,Ford,68,Object-based foreground superstructure
44,Pontiac,49,Re-engineered coherent core
45,Ford,35,Right-sized neutral infrastructure
46,Saturn,54,Sharable disintermediate toolset
47,Mazda,60,Centralized background installation
48,Porsche,26,Implemented 6th generation extranet
49,Mercedes-Benz,60,Programmable 24/7 focus group
50,Lincoln,31,Front-line mobile implementation
51,GMC,89,Quality-focused directional migration
52,Cadillac,9,Secured analyzing data-warehouse
53,Mitsubishi,79,Up-sized optimal collaboration
54,Buick,65,Future-proofed stable array
55,Toyota,32,Persistent zero defect concept
56,Ford,74,Total motivating hardware
57,Ford,58,Virtual context-sensitive open architecture
58,Lincoln,76,Virtual modular solution
59,BMW,48,Advanced user-facing hierarchy
60,Jeep,43,Multi-layered fresh-thinking hierarchy
61,Pontiac,65,Reverse-engineered well-modulated migration
62,Lincoln,79,Face to face zero administration groupware
63,Bentley,72,Reactive bifurcated migration
64,Eagle,24,Re-contextualized web-enabled task-force
65,Honda,74,Multi-tiered real-time project
66,GMC,72,Persevering national interface
67,Mitsubishi,51,Robust solution-oriented encoding
68,Mercedes-Benz,57,Multi-lateral 3rd generation migration
69,Volkswagen,4,Fundamental scalable process improvement
70,GMC,25,Exclusive context-sensitive help-desk
71,Chevrolet,72,Diverse analyzing interface
72,Mazda,74,Enhanced upward-trending instruction set
73,Nissan,43,Adaptive transitional capacity
74,Land Rover,34,Grass-roots high-level knowledge user
75,Ford,87,Automated executive toolset
76,GMC,81,Monitored exuding matrices
77,GMC,37,Up-sized didactic contingency
78,Mercedes-Benz,84,Managed encompassing task-force
79,BMW,42,Synergistic client-driven archive
80,Volvo,49,Ameliorated full-range circuit
81,Mercedes-Benz,34,Triple-buffered tertiary time-frame
82,Mercedes-Benz,90,Multi-channelled fresh-thinking open system
83,Chrysler,69,Realigned global emulation
84,Volkswagen,56,Innovative human-resource moratorium
85,Buick,20,Operative hybrid structure
86,Saturn,28,Public-key grid-enabled utilisation
87,Dodge,40,Switchable grid-enabled access
88,Scion,39,Progressive multi-state approach
89,Oldsmobile,82,Re-engineered asynchronous process improvement
90,GMC,21,Polarised fault-tolerant conglomeration
91,Suzuki,19,Total multi-state application
92,Chevrolet,73,Re-engineered system-worthy service-desk
93,BMW,63,Inverse coherent adapter
94,Lincoln,57,Optimized asynchronous orchestration
95,Toyota,90,Synergistic 6th generation hierarchy
96,Mazda,24,Open-architected homogeneous definition
97,Infiniti,44,Adaptive homogeneous knowledge user
98,Lexus,21,Persistent intangible standardization
99,Chrysler,38,Assimilated high-level application
100,Honda,28,Cross-group impactful project
101,BMW,91,Versatile 6th generation contingency
102,Ford,92,Seamless asynchronous framework
103,BMW,66,Focused uniform budgetary management
104,Lexus,69,Self-enabling human-resource collaboration
